,Domain,Type,Sponsoring Organization,date
0,.aaa,generic,AmericanAutomobileAssociationInc,2025-01-28
1,.aarp,generic,AARP,2025-01-28
2,.abarth,generic,Notassigned,2025-01-28
3,.abb,generic,ABBLtd,2025-01-28
4,.abbott,generic,AbbottLaboratoriesInc,2025-01-28
5,.abbvie,generic,AbbVieInc,2025-01-28
6,.abc,generic,DisneyEnterprisesInc,2025-01-28
7,.able,generic,AbleInc,2025-01-28
8,.abogado,generic,RegistryServicesLLC,2025-01-28
9,.abudhabi,generic,AbuDhabiSystemsandInformationCentre,2025-01-28
11,.academy,generic,BinkyMoonLLC,2025-01-28
12,.accenture,generic,Accentureplc,2025-01-28
13,.accountant,generic,dotAccountantLimited,2025-01-28
14,.accountants,generic,BinkyMoonLLC,2025-01-28
15,.aco,generic,ACOSeverinAhlmannGmbHCoKG,2025-01-28
16,.active,generic,Notassigned,2025-01-28
17,.actor,generic,DogBeachLLC,2025-01-28
19,.adac,generic,Notassigned,2025-01-28
20,.ads,generic,CharlestonRoadRegistryInc,2025-01-28
21,.adult,generic,ICMRegistryADLLC,2025-01-28
23,.aeg,generic,AktiebolagetElectrolux,2025-01-28
25,.aetna,generic,AetnaLifeInsuranceCompany,2025-01-28
27,.afamilycompany,generic,Notassigned,2025-01-28
28,.afl,generic,AustralianFootballLeague,2025-01-28
29,.africa,generic,ZACentralRegistryNPCtradingasRegistryAfrica,2025-01-28
31,.agakhan,generic,FondationAgaKhanAgaKhanFoundation,2025-01-28
32,.agency,generic,BinkyMoonLLC,2025-01-28
34,.aig,generic,AmericanInternationalGroupInc,2025-01-28
35,.aigo,generic,Notassigned,2025-01-28
36,.airbus,generic,AirbusSAS,2025-01-28
37,.airforce,generic,DogBeachLLC,2025-01-28
38,.airtel,generic,BhartiAirtelLimited,2025-01-28
39,.akdn,generic,FondationAgaKhanAgaKhanFoundation,2025-01-28
41,.alfaromeo,generic,Notassigned,2025-01-28
42,.alibaba,generic,AlibabaGroupHoldingLimited,2025-01-28
43,.alipay,generic,AlibabaGroupHoldingLimited,2025-01-28
44,.allfinanz,generic,AllfinanzDeutscheVermögensberatungAktiengesellschaft,2025-01-28
45,.allstate,generic,AllstateFireandCasualtyInsuranceCompany,2025-01-28
46,.ally,generic,AllyFinancialInc,2025-01-28
47,.alsace,generic,REGIONGRANDEST,2025-01-28
48,.alstom,generic,ALSTOM,2025-01-28
50,.amazon,generic,AmazonRegistryServicesInc,2025-01-28
51,.americanexpress,generic,AmericanExpressTravelRelatedServicesCompanyInc,2025-01-28
52,.americanfamily,generic,AmFamInc,2025-01-28
53,.amex,generic,AmericanExpressTravelRelatedServicesCompanyInc,2025-01-28
54,.amfam,generic,AmFamInc,2025-01-28
55,.amica,generic,AmicaMutualInsuranceCompany,2025-01-28
56,.amsterdam,generic,GemeenteAmsterdam,2025-01-28
58,.analytics,generic,CampusIPLLC,2025-01-28
59,.android,generic,CharlestonRoadRegistryInc,2025-01-28
60,.anquan,generic,QIHOO360TECHNOLOGYCOLTD,2025-01-28
61,.anz,generic,AustraliaandNewZealandBankingGroupLimited,2025-01-28
63,.aol,generic,YahooInc,2025-01-28
64,.apartments,generic,BinkyMoonLLC,2025-01-28
65,.app,generic,CharlestonRoadRegistryInc,2025-01-28
66,.apple,generic,AppleInc,2025-01-28
68,.aquarelle,generic,Aquarellecom,2025-01-28
70,.arab,generic,LeagueofArabStates,2025-01-28
71,.aramco,generic,AramcoServicesCompany,2025-01-28
72,.archi,generic,IdentityDigitalLimited,2025-01-28
73,.army,generic,DogBeachLLC,2025-01-28
75,.art,generic,UKCreativeIdeasLimited,2025-01-28
76,.arte,generic,AssociationRelativeàlaTélévisionEuropéenneGEIE,2025-01-28
78,.asda,generic,AsdaStoresLimited,2025-01-28
80,.associates,generic,BinkyMoonLLC,2025-01-28
82,.athleta,generic,TheGapInc,2025-01-28
83,.attorney,generic,DogBeachLLC,2025-01-28
85,.auction,generic,DogBeachLLC,2025-01-28
86,.audi,generic,AUDIAktiengesellschaft,2025-01-28
87,.audible,generic,AmazonRegistryServicesInc,2025-01-28
88,.audio,generic,XYZCOMLLC,2025-01-28
89,.auspost,generic,AustralianPostalCorporation,2025-01-28
90,.author,generic,AmazonRegistryServicesInc,2025-01-28
91,.auto,generic,XYZCOMLLC,2025-01-28
92,.autos,generic,XYZCOMLLC,2025-01-28
93,.avianca,generic,Notassigned,2025-01-28
95,.aws,generic,AWSRegistryLLC,2025-01-28
97,.axa,generic,AXAGroupOperationsSAS,2025-01-28
99,.azure,generic,MicrosoftCorporation,2025-01-28
101,.baby,generic,XYZCOMLLC,2025-01-28
102,.baidu,generic,BaiduInc,2025-01-28
103,.banamex,generic,CitigroupInc,2025-01-28
104,.bananarepublic,generic,Notassigned,2025-01-28
105,.band,generic,DogBeachLLC,2025-01-28
106,.bank,generic,fTLDRegistryServicesLLC,2025-01-28
107,.bar,generic,Punto2012SociedadAnonimaPromotoradeInversiondeCapitalVariable,2025-01-28
108,.barcelona,generic,MunicipideBarcelona,2025-01-28
109,.barclaycard,generic,BarclaysBankPLC,2025-01-28
110,.barclays,generic,BarclaysBankPLC,2025-01-28
111,.barefoot,generic,GalloVineyardsInc,2025-01-28
112,.bargains,generic,BinkyMoonLLC,2025-01-28
113,.baseball,generic,MLBAdvancedMediaDHLLC,2025-01-28
114,.basketball,generic,FédérationInternationaledeBasketballFIBA,2025-01-28
115,.bauhaus,generic,WerkhausGmbH,2025-01-28
116,.bayern,generic,BayernConnectGmbH,2025-01-28
118,.bbc,generic,BritishBroadcastingCorporation,2025-01-28
119,.bbt,generic,BBTCorporation,2025-01-28
120,.bbva,generic,BANCOBILBAOVIZCAYAARGENTARIASA,2025-01-28
121,.bcg,generic,TheBostonConsultingGroupInc,2025-01-28
122,.bcn,generic,MunicipideBarcelona,2025-01-28
125,.beats,generic,BeatsElectronicsLLC,2025-01-28
126,.beauty,generic,XYZCOMLLC,2025-01-28
127,.beer,generic,RegistryServicesLLC,2025-01-28
128,.bentley,generic,BentleyMotorsLimited,2025-01-28
129,.berlin,generic,dotBERLINGmbHCoKG,2025-01-28
130,.best,generic,BestTLDPtyLtd,2025-01-28
131,.bestbuy,generic,BBYSolutionsInc,2025-01-28
132,.bet,generic,IdentityDigitalLimited,2025-01-28
136,.bharti,generic,BhartiEnterprisesHoldingPrivateLimited,2025-01-28
138,.bible,generic,AmericanBibleSociety,2025-01-28
139,.bid,generic,dotBidLimited,2025-01-28
140,.bike,generic,BinkyMoonLLC,2025-01-28
141,.bing,generic,MicrosoftCorporation,2025-01-28
142,.bingo,generic,BinkyMoonLLC,2025-01-28
143,.bio,generic,IdentityDigitalLimited,2025-01-28
147,.black,generic,IdentityDigitalLimited,2025-01-28
148,.blackfriday,generic,RegistryServicesLLC,2025-01-28
149,.blanco,generic,Notassigned,2025-01-28
150,.blockbuster,generic,DishDBSCorporation,2025-01-28
151,.blog,generic,KnockKnockWHOISThereLLC,2025-01-28
152,.bloomberg,generic,BloombergIPHoldingsLLC,2025-01-28
153,.blue,generic,IdentityDigitalLimited,2025-01-28
155,.bms,generic,BristolMyersSquibbCompany,2025-01-28
156,.bmw,generic,BayerischeMotorenWerkeAktiengesellschaft,2025-01-28
158,.bnl,generic,Notassigned,2025-01-28
159,.bnpparibas,generic,BNPParibas,2025-01-28
161,.boats,generic,XYZCOMLLC,2025-01-28
162,.boehringer,generic,BoehringerIngelheimInternationalGmbH,2025-01-28
163,.bofa,generic,BankofAmericaCorporation,2025-01-28
164,.bom,generic,NúcleodeInformaçãoeCoordenaçãodoPontoBRNICbr,2025-01-28
165,.bond,generic,ShortdotSA,2025-01-28
166,.boo,generic,CharlestonRoadRegistryInc,2025-01-28
167,.book,generic,AmazonRegistryServicesInc,2025-01-28
168,.booking,generic,BookingcomBV,2025-01-28
169,.boots,generic,Notassigned,2025-01-28
170,.bosch,generic,RobertBoschGMBH,2025-01-28
171,.bostik,generic,BostikSA,2025-01-28
172,.boston,generic,RegistryServicesLLC,2025-01-28
173,.bot,generic,AmazonRegistryServicesInc,2025-01-28
174,.boutique,generic,BinkyMoonLLC,2025-01-28
175,.box,generic,IntercapRegistryInc,2025-01-28
178,.bradesco,generic,BancoBradescoSA,2025-01-28
179,.bridgestone,generic,BridgestoneCorporation,2025-01-28
180,.broadway,generic,CelebrateBroadwayInc,2025-01-28
181,.broker,generic,DogBeachLLC,2025-01-28
182,.brother,generic,BrotherIndustriesLtd,2025-01-28
183,.brussels,generic,DNSbevzw,2025-01-28
186,.budapest,generic,Notassigned,2025-01-28
187,.bugatti,generic,Notassigned,2025-01-28
188,.build,generic,PlanBeeLLC,2025-01-28
189,.builders,generic,BinkyMoonLLC,2025-01-28
190,.business,generic,BinkyMoonLLC,2025-01-28
191,.buy,generic,AmazonRegistryServicesINC,2025-01-28
192,.buzz,generic,DOTSTRATEGYCO,2025-01-28
197,.bzh,generic,Associationwwwbzh,2025-01-28
199,.cab,generic,BinkyMoonLLC,2025-01-28
200,.cafe,generic,BinkyMoonLLC,2025-01-28
201,.cal,generic,CharlestonRoadRegistryInc,2025-01-28
202,.call,generic,AmazonRegistryServicesInc,2025-01-28
203,.calvinklein,generic,PVHgTLDHoldingsLLC,2025-01-28
204,.cam,generic,CAMConnectingSARL,2025-01-28
205,.camera,generic,BinkyMoonLLC,2025-01-28
206,.camp,generic,BinkyMoonLLC,2025-01-28
207,.cancerresearch,generic,Notassigned,2025-01-28
208,.canon,generic,CanonInc,2025-01-28
209,.capetown,generic,ZACentralRegistryNPCtradingasZACentralRegistry,2025-01-28
210,.capital,generic,BinkyMoonLLC,2025-01-28
211,.capitalone,generic,CapitalOneFinancialCorporation,2025-01-28
212,.car,generic,XYZCOMLLC,2025-01-28
213,.caravan,generic,CaravanInternationalInc,2025-01-28
214,.cards,generic,BinkyMoonLLC,2025-01-28
215,.care,generic,BinkyMoonLLC,2025-01-28
216,.career,generic,dotCareerLLC,2025-01-28
217,.careers,generic,BinkyMoonLLC,2025-01-28
218,.cars,generic,XYZCOMLLC,2025-01-28
219,.cartier,generic,Notassigned,2025-01-28
220,.casa,generic,RegistryServicesLLC,2025-01-28
221,.case,generic,DigityLLC,2025-01-28
222,.caseih,generic,Notassigned,2025-01-28
223,.cash,generic,BinkyMoonLLC,2025-01-28
224,.casino,generic,BinkyMoonLLC,2025-01-28
226,.catering,generic,BinkyMoonLLC,2025-01-28
227,.catholic,generic,PontificiumConsiliumdeComunicationibusSocialibusPCCSPontificalCouncilforSocialCommunication,2025-01-28
228,.cba,generic,COMMONWEALTHBANKOFAUSTRALIA,2025-01-28
229,.cbn,generic,TheChristianBroadcastingNetworkInc,2025-01-28
230,.cbre,generic,CBREInc,2025-01-28
231,.cbs,generic,Notassigned,2025-01-28
234,.ceb,generic,Notassigned,2025-01-28
235,.center,generic,BinkyMoonLLC,2025-01-28
236,.ceo,generic,XYZCOMLLC,2025-01-28
237,.cern,generic,EuropeanOrganizationforNuclearResearchCERN,2025-01-28
239,.cfa,generic,CFAInstitute,2025-01-28
240,.cfd,generic,ShortdotSA,2025-01-28
243,.chanel,generic,ChanelInternationalBV,2025-01-28
244,.channel,generic,CharlestonRoadRegistryInc,2025-01-28
245,.charity,generic,PublicInterestRegistryPIR,2025-01-28
246,.chase,generic,JPMorganChaseBankNationalAssociation,2025-01-28
247,.chat,generic,BinkyMoonLLC,2025-01-28
248,.cheap,generic,BinkyMoonLLC,2025-01-28
249,.chintai,generic,CHINTAICorporation,2025-01-28
250,.chloe,generic,Notassigned,2025-01-28
251,.christmas,generic,XYZCOMLLC,2025-01-28
252,.chrome,generic,CharlestonRoadRegistryInc,2025-01-28
253,.chrysler,generic,Notassigned,2025-01-28
254,.church,generic,BinkyMoonLLC,2025-01-28
256,.cipriani,generic,HotelCiprianiSrl,2025-01-28
257,.circle,generic,AmazonRegistryServicesInc,2025-01-28
258,.cisco,generic,CiscoTechnologyInc,2025-01-28
259,.citadel,generic,CitadelDomainLLC,2025-01-28
260,.citi,generic,CitigroupInc,2025-01-28
261,.citic,generic,CITICGroupCorporation,2025-01-28
